Office Name,Contest ID,Ballot Name,Choice ID,Party,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 46 - Rep,SSD46R,Total Votes,,,18721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 51 - Rep,SSD51R,Philip Milam,82,REP,11579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 51 - Rep,SSD51R,Will Wade,84,REP,18265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 51 - Rep,SSD51R,Total Votes,,,29844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 47 - Rep,SHD47R,Brian Cochran,116,REP,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 47 - Rep,SHD47R,Jack Miller,118,REP,2935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 47 - Rep,SHD47R,Total Votes,,,4660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 58 - Dem,SHD58D,Demetria Henderson,144,DEM,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 58 - Dem,SHD58D,Mathewos Samson,147,DEM,3539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 58 - Dem,SHD58D,Total Votes,,,5341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 62 - Dem,SHD62D,Kavon Arnold,154,DEM,2046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 62 - Dem,SHD62D,Kenn Collier,155,DEM,3359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 62 - Dem,SHD62D,Total Votes,,,5405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 68 - Dem,SHD68D,Mark Baker,136,DEM,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 68 - Dem,SHD68D,Timoria McQueen Saba,140,DEM,2286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 68 - Dem,SHD68D,Total Votes,,,4386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 94 - Dem,SHD94D,Kelly Kautz,217,DEM,892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 94 - Dem,SHD94D,Venola Mason (I),218,DEM,3048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 94 - Dem,SHD94D,Total Votes,,,3940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 117 - Dem,SHD117D,Mary Ann Santos (I),113,DEM,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 117 - Dem,SHD117D,Kim Thomas Smith,114,DEM,3832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 117 - Dem,SHD117D,Total Votes,,,4363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 177 - Dem,SHD177D,Elsie Cason Napier,91,DEM,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 177 - Dem,SHD177D,"Alvin Payton, Jr.",92,DEM,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State House of Representatives - District 177 - Dem,SHD177D,Total Votes,,,1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
